"source_id","source_name","dataset_name","source_url","acquisition_date","file_format","coverage","purpose","redistribution_status","local_file","notes"
"vgchistory_master","VGC History","Master VGC History Dataset","https://vgchistory.com/data.js","2026-09-21","JavaScript","All logged VGC History tournaments and registries","Primary tournament registry and metadata source","Reuse permitted; attribution requested","data/raw/vgchistory/data.js","Static file assigning data to window.VH; cached locally"
"vgchistory_sitemap","VGC History","VGC History Sitemap","https://vgchistory.com/sitemap.xml","2026-09-21","XML","Valid pages, entity slugs and tournament IDs","Source enumeration and tournament ID validation","Reuse permitted; attribution requested","data/raw/vgchistory/sitemap.xml","Used to validate tournament and entity identifiers"
